"X0.01","X0.05","X0.1","X0.15","X0.2","X0.3"
0,0,0,0,0,0
0.333333333333333,0.25,0.25,0.25,0.25,0.25
0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0.333333333333333,0.333333333333333,0.333333333333333
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
0,0,0,0,0,0
0,0,0,0,0,0
